timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1633734292990,1449,HTTP Request,200,OK,Thread Group 1-7,text,true,,104986,619,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,140,0,109
1633734292990,140,HTTP Request-0,301,Moved Permanently,Thread Group 1-7,text,true,,758,121,3,3,https://google.com/classroom,140,0,109
1633734293131,151,HTTP Request-1,301,Moved Permanently,Thread Group 1-7,text,true,,754,125,3,3,https://www.google.com/classroom,151,0,121
1633734293282,785,HTTP Request-2,302,Moved Temporarily,Thread Group 1-7,text,true,,1728,122,3,3,https://classroom.google.com/,772,0,114
1633734294068,371,HTTP Request-3,200,OK,Thread Group 1-7,text,true,,101746,251,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,237,0,111
1633734293490,1587,HTTP Request,200,OK,Thread Group 1-8,text,true,,104841,619,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,132,0,103
1633734293490,132,HTTP Request-0,301,Moved Permanently,Thread Group 1-8,text,true,,758,121,4,4,https://google.com/classroom,132,0,103
1633734293623,152,HTTP Request-1,301,Moved Permanently,Thread Group 1-8,text,true,,754,125,4,4,https://www.google.com/classroom,152,0,123
1633734293776,920,HTTP Request-2,302,Moved Temporarily,Thread Group 1-8,text,true,,1728,122,4,4,https://classroom.google.com/,908,0,127
1633734294697,380,HTTP Request-3,200,OK,Thread Group 1-8,text,true,,101601,251,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,228,0,99
1633734293995,1368,HTTP Request,200,OK,Thread Group 1-9,text,true,,105138,619,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,139,0,110
1633734293995,139,HTTP Request-0,301,Moved Permanently,Thread Group 1-9,text,true,,758,121,3,3,https://google.com/classroom,139,0,110
1633734294134,141,HTTP Request-1,301,Moved Permanently,Thread Group 1-9,text,true,,754,125,3,3,https://www.google.com/classroom,141,0,112
1633734294276,774,HTTP Request-2,302,Moved Temporarily,Thread Group 1-9,text,true,,1728,122,3,3,https://classroom.google.com/,762,0,102
1633734295051,312,HTTP Request-3,200,OK,Thread Group 1-9,text,true,,101898,251,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,235,0,115
1633734294506,1547,HTTP Request,200,OK,Thread Group 1-10,text,true,,104848,619,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,143,0,114
1633734294506,143,HTTP Request-0,301,Moved Permanently,Thread Group 1-10,text,true,,758,121,4,4,https://google.com/classroom,143,0,114
1633734294650,142,HTTP Request-1,301,Moved Permanently,Thread Group 1-10,text,true,,754,125,4,4,https://www.google.com/classroom,142,0,113
1633734294793,887,HTTP Request-2,302,Moved Temporarily,Thread Group 1-10,text,true,,1728,122,4,4,https://classroom.google.com/,887,0,123
1633734295680,372,HTTP Request-3,200,OK,Thread Group 1-10,text,true,,101608,251,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,229,0,108
1633734294989,2026,HTTP Request,200,OK,Thread Group 1-11,text,true,,104924,619,5,5,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,126,0,97
1633734294989,127,HTTP Request-0,301,Moved Permanently,Thread Group 1-11,text,true,,758,121,5,5,https://google.com/classroom,126,0,97
1633734295115,139,HTTP Request-1,301,Moved Permanently,Thread Group 1-11,text,true,,754,125,5,5,https://www.google.com/classroom,139,0,110
1633734295255,1463,HTTP Request-2,302,Moved Temporarily,Thread Group 1-11,text,true,,1728,122,5,5,https://classroom.google.com/,1448,0,98
1633734296719,296,HTTP Request-3,200,OK,Thread Group 1-11,text,true,,101684,251,5,5,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,219,0,111
1633734295488,1589,HTTP Request,200,OK,Thread Group 1-12,text,true,,104821,619,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,143,0,113
1633734295488,143,HTTP Request-0,301,Moved Permanently,Thread Group 1-12,text,true,,758,121,4,4,https://google.com/classroom,143,0,113
1633734295631,152,HTTP Request-1,301,Moved Permanently,Thread Group 1-12,text,true,,754,125,4,4,https://www.google.com/classroom,152,0,122
1633734295784,919,HTTP Request-2,302,Moved Temporarily,Thread Group 1-12,text,true,,1728,122,4,4,https://classroom.google.com/,919,0,123
